Lot #,Year,Make,Model,Location,VIN,Sale date,Doc Type,Damage,Sale price,Payment status,Lot left location
52958045,2012,LEXUS,IS 250,FL - FT. PIERCE,JTHBF5C22C5161697,09/17/2025,RB - FL,FRONT END,"$2,435.00",Paid,09/17/2025
65279035,2015,HONDA,ACCORD SPO,VA - HAMPTON,1HGCR2F51FA091074,09/23/2025,ST - VA,FRONT END,"$3,455.00",Paid,09/26/2025
68282585,2014,NISSAN,ROGUE S,PA - PHILADELPHIA EAST-SUBLOT,5N1AT2MV9EC786380,09/24/2025,SC - PA,SIDE,"$2,305.00",Paid,10/02/2025
68615425,2011,ACURA,TSX,VA - FREDERICKSBURG,JH4CU2F63BC015519,09/17/2025,ST - VA,FRONT END,$985.00,Paid,09/22/2025
68935015,2011,INFINITI,G37,CT - HARTFORD,JN1CV6EL1BM260460,09/23/2025,ST - CT,FRONT END,"$1,850.00",Paid,09/24/2025
69201215,2015,NISSAN,ALTIMA 2.5,SC - SPARTANBURG,1N4AL3APXFN397761,09/22/2025,ST - SC,FRONT END,"$1,675.00",Paid,09/23/2025
69408055,2008,HONDA,ACCORD EXL,NY - BUFFALO,1HGCS22888A010742,09/15/2025,SM - NY,REAR END,$565.00,Paid,09/15/2025
69828455,2011,HYUNDAI,SONATA GLS,SC - SPARTANBURG,5NPEB4AC0BH063542,09/22/2025,ST - SC,FRONT END,"$1,675.00",Paid,09/24/2025
70016575,2013,HYUNDAI,SONATA GLS,NJ - GLASSBORO EAST,5NPEB4AC7DH524965,09/23/2025,SC - NJ,REAR END,"$1,225.00",Paid,09/23/2025
70065185,2008,INFINITI,G35,VA - HAMPTON,JNKBV61EX8M212933,09/30/2025,ST - VA,FRONT END,$815.00,Paid,10/06/2025
70190375,2000,ACURA,3.2TL,NC - MEBANE,19UUA566XYA027401,09/17/2025,SC - NC,SIDE,$480.00,Paid,09/17/2025
70339735,2008,INFINITI,G37 BASE,SC - SPARTANBURG,JNKCV64E18M108430,10/06/2025,ST - SC,REAR END,"$2,290.00",NotPaid,10/10/2025
